gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Average_Tensile_Strength,STD_Tensile_Strength,Average_Young's_Modulus,STD_Young's_Modulus,Self-renewal(discrete),Ectoderm(discrete),Mesoderm(discrete),Endoderm(discrete),Self-renewal,Ectoderm,Mesoderm,Endoderm
0.1,LAP,0.005,90,1500,27G,2,153.201922,1.394129,139.4129,148.1202,1.5544,155.4371,162.0134,1.6029,160.2902,183.2905,1.4484,144.8417,161.0916,1.4037,140.3718,147.2038,1.3567,135.6671,159.1536,13.3752,146.0035,9.7616,,POSITIVE,POSITIVE,POSITIVE,-1.89,1.37,3.74,0.7
0.125,LAP,0.005,30,1500,27G,2,95.41203381,1.53102981,153.102981,82.1095,1.5208,152.0847,87.9941,1.618,161.8044,85.1092,1.4219,142.1919,86.0911,1.6721,167.2088,74.0658,1.492,149.202,85.1303,7.0198,154.2658,8.9653,,POSITIVE,POSITIVE,NEGATIVE,-2.58,1.12,4.03,0.23
0.125,LAP,0.005,50,1500,27G,2,124.1908716,1.95031766,195.031766,101.981,2.0124,201.2376,137.5509,1.8601,186.0136,121.1085,1.7599,175.9923,129.4483,1.8422,184.2231,126.0319,1.8511,185.1093,123.3853,11.903,187.9346,8.8928,,NEGATIVE,POSITIVE,NEGATIVE,-1.3,-0.41,1.42,-0.51
0.125,LAP,0.005,70,1500,27G,2,159.5704403,2.52260026,252.260026,188.1483,2.7759,277.5941,182.7024,2.4076,240.7599,192.6058,2.3761,237.6076,155.0221,2.8901,289.0085,165.4413,3.012,301.1984,173.915,15.8976,266.4048,26.5848,,NEGATIVE,POSITIVE,NEGATIVE,-1.09,-0.44,1.14,-0.61
0.125,LAP,0.005,90,1500,27G,2,226.1914383,3.12550219,312.550219,181.0947,2.892,289.198,202.1955,3.2811,328.1095,189.1953,3.1419,314.1928,172.589,3.0092,300.922,182.2042,2.761,276.1044,192.245,19.3503,303.5128,18.7807,,BORDERLINE,POSITIVE,NEGATIVE,-4.11,0.56,4.29,0.13
0.15,LAP,0.005,30,1500,27G,2,121.194482,3.02193348,302.193348,136.9038,3.1205,312.0519,114.1956,3.2955,329.5519,99.2038,2.8919,289.1905,102.7709,2.7055,270.5538,121.0401,2.9508,295.083,115.8848,13.7815,299.7708,20.1552,,NEGATIVE,POSITIVE,POSITIVE,-1.59,0.41,4.24,0.52
0.15,LAP,0.005,50,1500,27G,2,161.834092,3.19048138,319.048138,182.9045,2.8233,282.3318,159.4092,3.013,301.3045,171.8905,3.2917,329.1746,175.338,3.1215,312.1503,168.091,3.2219,322.1905,169.9112,8.7297,311.0333,16.9558,,NEGATIVE,POSITIVE,NEGATIVE,-4.03,0.07,3.68,-0.25
0.15,LAP,0.005,70,1500,27G,2,192.048013,3.10924825,310.924825,201.1956,3.4188,341.8809,212.0481,3.1917,319.1678,219.1984,3.403,340.298,195.1094,3.5509,355.0918,202.5547,3.3821,338.2052,203.6924,10.2669,334.2614,16.2257,,NEGATIVE,POSITIVE,NEGATIVE,-3.9,0.07,3.7,-0.32
0.15,LAP,0.005,90,1500,27G,2,231.091529,3.62190425,362.190425,244.1842,3.7128,371.2805,252.0901,3.448,344.8032,219.3382,3.519,351.9038,204.3911,3.7719,377.1926,228.3915,3.6052,360.5219,229.9144,17.102,361.3154,11.95,,NEGATIVE,POSITIVE,POSITIVE,-2.17,0.23,4.37,0.7
0.175,LAP,0.005,30,1500,27G,2,195.108827,2.95140922,295.140922,202.1903,3.3157,331.5673,219.1571,3.2572,325.7189,224.1911,3.0527,305.2732,219.8034,3.15,314.9982,230.1769,3.2916,329.1566,215.1046,13.5266,316.9759,14.5283,,NEGATIVE,POSITIVE,BORDERLINE,-2.47,0.15,3.52,0.4
0.175,LAP,0.005,50,1500,27G,2,342.1904773,3.35103381,335.103381,362.1089,3.5902,359.0247,303.2079,3.3105,331.0538,314.5529,3.5156,351.5572,351.603,3.8103,381.0347,342.1901,3.3212,332.1185,335.9755,22.5258,348.3154,19.65,,NEGATIVE,POSITIVE,NEGATIVE,-3.29,0.14,3.22,-0.6
0.175,LAP,0.005,70,1500,27G,2,445.0219332,4.32080319,432.080319,428.0517,3.9512,395.1198,395.9034,4.092,409.1956,429.5019,4.068,406.8029,441.9039,4.192,419.1956,415.8847,3.904,390.3981,426.0446,18.1072,408.7987,15.362,,NEGATIVE,POSITIVE,NEGATIVE,-3.03,-0.03,3,-0.59
0.175,LAP,0.005,90,1500,27G,2,512.043382,6.02154431,602.154431,531.1918,5.9208,592.0759,505.9902,5.5218,552.1805,513.1979,5.8219,582.1945,540.0988,5.7104,571.04,492.1956,5.8109,581.0937,515.7863,17.3299,580.1232,17.3019,,NEGATIVE,POSITIVE,NEGATIVE,-2.5,0.13,3.02,-0.01
